col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
3.0,6.0,5.0,6.0,4.0,6.0,7.0,3.0,6.254528754167097,8.0,5.900049657442647,9.0,3.0,7.0,7.0,6.0
4.0,11.0,6.0,8.0,8.0,7.0,8.0,3.0,5.0,6.0,6.0,10.0,6.0,11.0,7.0,5.0
3.0,4.0,5.0,3.0,2.0,10.0,2.0,2.0,1.0,9.0,2.920362332926011,9.0,2.0,6.0,2.0,8.28412265967262
2.0,4.0,2.0,3.0,2.098372058368398,7.0,7.0,4.746065927222843,7.0,7.0,6.0,8.0,2.0,8.0,5.0,10.0
4.0,5.0,5.0,7.0,4.135282068834453,8.0,7.0,8.0,4.721207030529408,6.0,7.0,9.0,3.0,8.0,5.0,9.0
4.0,10.0,4.0,7.0,4.0,3.0,8.0,5.0,9.0,7.0,6.0,13.0,0.0,8.0,4.211529469272369,9.0
3.0,5.0,4.0,3.0,2.3060848100884357,8.0,6.963326514262155,7.0,4.543532698078621,7.176748610608006,6.331165134121591,8.0,2.0,8.0,3.0,8.0
2.0,2.0,2.0,3.0,2.0,8.0,8.0,5.0,2.0,7.0,8.0,10.0,2.0,9.0,3.0148239415512,8.0
4.0,8.0,6.0,6.0,4.0,6.0,7.335964435895719,6.0,6.0,7.0,7.192524063462092,11.0,3.0,10.0,4.0,9.0
1.6451664175013703,3.0,3.0,2.0,2.0,8.0,7.0,6.0,4.0,9.0,5.0,8.0,2.0,8.0,2.0,8.0
3.0,5.0,5.0,4.0,4.0,9.0,6.0,3.0,6.0,8.112727988580893,4.0,7.0,4.0,7.0,5.0,9.0
4.0,7.0,5.0,5.0,3.0,6.0,11.0,8.0,2.0,10.0,5.0,3.0,1.0,8.904205031561682,4.0,7.0
5.0,7.0,5.0,5.0,1.9826457587170165,3.0,12.0,5.0,4.0,12.0,12.0,7.218485668121173,2.0,10.0,1.0,8.0
4.0,6.0,6.0,9.0,3.0,8.0,7.326473613358074,7.0,4.9085494599349735,6.028368365390719,9.0,9.0,4.0,7.0,6.0,10.0
5.403344696373634,9.014110070734102,9.0,7.0,6.246741631477278,10.0,6.0,2.0,5.0,9.0,3.0,6.0,9.0,8.0,2.0,9.0
2.0,2.0,2.900618647799793,3.0,1.0,7.0,12.0,2.0,3.0,7.0,11.0,6.422606084702364,2.0,10.0,1.0,8.0
4.0,8.0,5.92576218919772,6.0,6.0,8.0,7.0,4.096001536564028,6.0,7.0,6.0,5.0,2.0,8.0,7.0,9.0
8.0,12.0,7.0,6.0,4.0,9.0,8.0,3.0,7.0,9.0,4.0,6.0,6.0,9.0,4.0,8.0
4.0,5.0,6.0,5.0,6.0,8.0,7.0,5.0,5.0,7.0,6.0,7.0,5.0,8.265838800989005,9.0,10.0
6.0,10.0,8.0,8.0,4.717998677771276,10.0,5.0,4.0,8.0,11.0,3.0,7.0,4.0,6.982942762141723,4.0,9.0
2.0,7.0,3.0,5.0,2.0,6.0,7.0,9.0,6.0,5.685145991472627,6.0,7.0,2.0,8.0,8.0,8.46081633806254
6.0,10.0,5.0,5.0,3.0,6.0,9.0,6.0,3.0,10.0,5.0,6.0,4.0,9.0,4.0,7.0
7.0,9.0,7.0,11.0,8.0,7.0,10.0,4.0,4.0,6.013862566749154,10.0,11.0,5.0,11.0,10.0,9.0
3.0,7.375931124845867,5.0,5.0,3.0,8.0,6.0,7.0,4.0,7.568453423377409,5.0,8.0,3.0,8.0,3.0,7.0
5.536996470987177,9.0,6.746883979729795,7.0,5.0,4.0,9.70726496689176,3.0,3.0,9.0,8.0,7.0,7.0,11.0,2.0,5.0
2.5173976604158144,5.0,3.0,3.0,3.385776284918694,7.0,8.0,5.0,9.0,6.0,6.0,9.0,2.0,8.0,7.0,8.0
1.0,0.0,1.0,1.5722688278402883,1.0193596046313174,7.0,7.0,10.0,0.0,6.0,6.0,8.0,4.0,8.0,0.0,8.0
4.0,7.0,5.0,6.0,2.0,8.0,8.0,7.0,6.0,5.0,8.0,9.0,3.0,7.0,5.0,8.297643341738599
5.0,5.0,6.0,7.0,3.0,7.0,7.0,5.4185460097336025,6.145277111501507,6.0,6.0,7.0,2.0,7.0,7.0,11.0
6.0,8.0,6.892077840011636,6.0,7.0,8.0,7.0,5.0,5.796327795125415,7.0,6.0,8.0,5.0,11.0,9.0,8.166925842286583
7.0,11.0,9.0,8.0,9.0,8.0,8.0,4.0,4.462311673856558,7.786237967022919,6.0,7.0,7.0,7.0,7.0,9.0
1.0,6.0,2.0,4.0,1.0,12.0,3.0,9.0,4.399636833889888,13.0,3.075873345466399,12.0,1.0,6.0,0.0,8.0
1.0589842214921839,1.0,2.0,2.0,2.0,7.0,7.0,5.0,5.0,6.0,5.0,7.0,2.0,7.0,4.0,8.0
2.0,5.0,3.399675664228434,4.0,1.0,7.0,7.0,0.0,6.339844515379944,13.0,6.0,8.0,0.0,8.0,1.0,8.0
4.0,5.0,5.0,4.0,4.0,7.683018075987256,7.0,2.0,4.0,7.0,6.0,8.0,2.0,9.0,7.0,7.0
