col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
3.0,6.0,5.0,6.0,4.0,6.0,7.0,3.0,5.693996174762555,8.0,6.2777934804987225,9.0,3.0,7.0,7.0,6.0
4.0,11.0,6.0,8.0,8.0,7.0,8.0,3.0,5.0,6.0,6.0,10.0,6.0,11.0,7.0,5.0
3.0,4.0,5.0,3.0,2.0,10.0,2.0,2.0,1.0,9.0,6.094221950175062,9.0,2.0,6.0,2.0,8.677614115228266
2.0,4.0,2.0,3.0,2.0468547959859618,7.0,7.0,4.851168932353455,7.0,7.0,6.0,8.0,2.0,8.0,5.0,10.0
4.0,5.0,5.0,7.0,4.013320820911414,8.0,7.0,8.0,5.550561821945238,6.0,7.0,9.0,3.0,8.0,5.0,9.0
4.0,10.0,4.0,7.0,4.0,3.0,8.0,5.0,9.0,7.0,6.0,13.0,0.0,8.0,4.049281905605402,9.0
3.0,5.0,4.0,3.0,2.449020312824761,8.0,7.503915757421929,7.0,5.991818324043169,8.212659816586273,6.25809459875392,8.0,2.0,8.0,3.0,8.0
2.0,2.0,2.0,3.0,2.0,8.0,8.0,5.0,2.0,7.0,8.0,10.0,2.0,9.0,3.6411075987273995,8.0
4.0,8.0,6.0,6.0,4.0,6.0,7.7678578953383735,6.0,6.0,7.0,6.55476654996062,11.0,3.0,10.0,4.0,9.0
2.5423715944268186,3.0,3.0,2.0,2.0,8.0,7.0,6.0,4.0,9.0,5.0,8.0,2.0,8.0,2.0,8.0
3.0,5.0,5.0,4.0,4.0,9.0,6.0,3.0,6.0,8.0069263102591,4.0,7.0,4.0,7.0,5.0,9.0
4.0,7.0,5.0,5.0,3.0,6.0,11.0,8.0,2.0,10.0,5.0,3.0,1.0,8.994448345287214,4.0,7.0
5.0,7.0,5.0,5.0,2.2896697944032014,3.0,12.0,5.0,4.0,12.0,12.0,7.618274225507574,2.0,10.0,1.0,8.0
4.0,6.0,6.0,9.0,3.0,8.0,7.260401752048487,7.0,5.351342317643721,8.039425855171698,9.0,9.0,4.0,7.0,6.0,10.0
5.7666502675653994,7.295334713676259,9.0,7.0,6.5091103077937085,10.0,6.0,2.0,5.0,9.0,3.0,6.0,9.0,8.0,2.0,9.0
2.0,2.0,4.182953900482279,3.0,1.0,7.0,12.0,2.0,3.0,7.0,11.0,7.546512969461747,2.0,10.0,1.0,8.0
4.0,8.0,5.680651278354563,6.0,6.0,8.0,7.0,4.55318212586936,6.0,7.0,6.0,5.0,2.0,8.0,7.0,9.0
8.0,12.0,7.0,6.0,4.0,9.0,8.0,3.0,7.0,9.0,4.0,6.0,6.0,9.0,4.0,8.0
4.0,5.0,6.0,5.0,6.0,8.0,7.0,5.0,5.0,7.0,6.0,7.0,5.0,8.224790293673058,9.0,10.0
