col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
3.0,6.0,5.0,6.0,4.0,6.0,7.0,3.0,6.645932334141956,8.0,6.41738722223595,9.0,3.0,7.0,7.0,6.0
4.0,11.0,6.0,8.0,8.0,7.0,8.0,3.0,5.0,6.0,6.0,10.0,6.0,11.0,7.0,5.0
3.0,4.0,5.0,3.0,2.0,10.0,2.0,2.0,1.0,9.0,4.280146209264191,9.0,2.0,6.0,2.0,7.89688378935476
2.0,4.0,2.0,3.0,1.718119243858715,7.0,7.0,4.819910665028465,7.0,7.0,6.0,8.0,2.0,8.0,5.0,10.0
4.0,5.0,5.0,7.0,3.8825386511453512,8.0,7.0,8.0,4.629712821652712,6.0,7.0,9.0,3.0,8.0,5.0,9.0
4.0,10.0,4.0,7.0,4.0,3.0,8.0,5.0,9.0,7.0,6.0,13.0,0.0,8.0,3.923515143613032,9.0
3.0,5.0,4.0,3.0,2.41551211098519,8.0,7.188704605758756,7.0,4.682679080919664,8.821084288545036,6.449906439167508,8.0,2.0,8.0,3.0,8.0
2.0,2.0,2.0,3.0,2.0,8.0,8.0,5.0,2.0,7.0,8.0,10.0,2.0,9.0,2.8926087130171214,8.0
4.0,8.0,6.0,6.0,4.0,6.0,7.205831285263617,6.0,6.0,7.0,7.602341460920309,11.0,3.0,10.0,4.0,9.0
2.1965235974173623,3.0,3.0,2.0,2.0,8.0,7.0,6.0,4.0,9.0,5.0,8.0,2.0,8.0,2.0,8.0
3.0,5.0,5.0,4.0,4.0,9.0,6.0,3.0,6.0,8.5924234359515,4.0,7.0,4.0,7.0,5.0,9.0
4.0,7.0,5.0,5.0,3.0,6.0,11.0,8.0,2.0,10.0,5.0,3.0,1.0,9.475385120104452,4.0,7.0
5.0,7.0,5.0,5.0,1.8525430384479418,3.0,12.0,5.0,4.0,12.0,12.0,8.120002881631303,2.0,10.0,1.0,8.0
4.0,6.0,6.0,9.0,3.0,8.0,7.652533985098808,7.0,4.632593392019574,8.632167705931588,9.0,9.0,4.0,7.0,6.0,10.0
5.570328286598949,8.353782553348674,9.0,7.0,6.197985465401186,10.0,6.0,2.0,5.0,9.0,3.0,6.0,9.0,8.0,2.0,9.0
2.0,2.0,2.8471870104543044,3.0,1.0,7.0,12.0,2.0,3.0,7.0,11.0,8.06984017595521,2.0,10.0,1.0,8.0
4.0,8.0,5.422947417418111,6.0,6.0,8.0,7.0,4.840251048556375,6.0,7.0,6.0,5.0,2.0,8.0,7.0,9.0
