col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
3.0,6.0,5.0,6.0,4.0,6.0,7.0,3.0,6.253263602184166,8.0,6.192203495757956,9.0,3.0,7.0,7.0,6.0
4.0,11.0,6.0,8.0,8.0,7.0,8.0,3.0,5.0,6.0,6.0,10.0,6.0,11.0,7.0,5.0
3.0,4.0,5.0,3.0,2.0,10.0,2.0,2.0,1.0,9.0,2.349748426436464,9.0,2.0,6.0,2.0,7.4876321225733165
2.0,4.0,2.0,3.0,2.435392279118217,7.0,7.0,5.826434346780245,7.0,7.0,6.0,8.0,2.0,8.0,5.0,10.0
4.0,5.0,5.0,7.0,4.5627875757614555,8.0,7.0,8.0,5.335849259340166,6.0,7.0,9.0,3.0,8.0,5.0,9.0
4.0,10.0,4.0,7.0,4.0,3.0,8.0,5.0,9.0,7.0,6.0,13.0,0.0,8.0,4.622240407380383,9.0
3.0,5.0,4.0,3.0,2.104676501371372,8.0,4.3456245543266565,7.0,5.906356684947301,7.863973519415714,4.271075084278139,8.0,2.0,8.0,3.0,8.0
2.0,2.0,2.0,3.0,2.0,8.0,8.0,5.0,2.0,7.0,8.0,10.0,2.0,9.0,2.2575846879300956,8.0
4.0,8.0,6.0,6.0,4.0,6.0,5.863839345952995,6.0,6.0,7.0,6.188017289988991,11.0,3.0,10.0,4.0,9.0
1.864283560901783,3.0,3.0,2.0,2.0,8.0,7.0,6.0,4.0,9.0,5.0,8.0,2.0,8.0,2.0,8.0
3.0,5.0,5.0,4.0,4.0,9.0,6.0,3.0,6.0,9.637038477096144,4.0,7.0,4.0,7.0,5.0,9.0
4.0,7.0,5.0,5.0,3.0,6.0,11.0,8.0,2.0,10.0,5.0,3.0,1.0,8.55506045015112,4.0,7.0
5.0,7.0,5.0,5.0,2.135190966236414,3.0,12.0,5.0,4.0,12.0,12.0,7.089203874531002,2.0,10.0,1.0,8.0
4.0,6.0,6.0,9.0,3.0,8.0,8.11337467611197,7.0,6.435208627058284,8.928582042208635,9.0,9.0,4.0,7.0,6.0,10.0
4.525282728210199,3.8519384940660406,9.0,7.0,4.785841136171736,10.0,6.0,2.0,5.0,9.0,3.0,6.0,9.0,8.0,2.0,9.0
2.0,2.0,3.351854718054258,3.0,1.0,7.0,12.0,2.0,3.0,7.0,11.0,6.7938370681423415,2.0,10.0,1.0,8.0
4.0,8.0,5.371537915086824,6.0,6.0,8.0,7.0,5.969378072607016,6.0,7.0,6.0,5.0,2.0,8.0,7.0,9.0
8.0,12.0,7.0,6.0,4.0,9.0,8.0,3.0,7.0,9.0,4.0,6.0,6.0,9.0,4.0,8.0
4.0,5.0,6.0,5.0,6.0,8.0,7.0,5.0,5.0,7.0,6.0,7.0,5.0,8.398643755504864,9.0,10.0
6.0,10.0,8.0,8.0,5.780794566595044,10.0,5.0,4.0,8.0,11.0,3.0,7.0,4.0,5.856986156537673,4.0,9.0
2.0,7.0,3.0,5.0,2.0,6.0,7.0,9.0,6.0,8.634302361087515,6.0,7.0,2.0,8.0,8.0,9.262334128154832
6.0,10.0,5.0,5.0,3.0,6.0,9.0,6.0,3.0,10.0,5.0,6.0,4.0,9.0,4.0,7.0
7.0,9.0,7.0,11.0,8.0,7.0,10.0,4.0,4.0,8.173063551478242,10.0,11.0,5.0,11.0,10.0,9.0
3.0,8.607564119628508,5.0,5.0,3.0,8.0,6.0,7.0,4.0,10.227947958307526,5.0,8.0,3.0,8.0,3.0,7.0
7.278455162782454,9.0,6.90351334484651,7.0,5.0,4.0,11.394456192728033,3.0,3.0,9.0,8.0,7.0,7.0,11.0,2.0,5.0
2.6201586500570886,5.0,3.0,3.0,4.043544959961532,7.0,8.0,5.0,9.0,6.0,6.0,9.0,2.0,8.0,7.0,8.0
1.0,0.0,1.0,3.2074815483890156,1.8780213328517048,7.0,7.0,10.0,0.0,6.0,6.0,8.0,4.0,8.0,0.0,8.0
4.0,7.0,5.0,6.0,2.0,8.0,8.0,7.0,6.0,5.0,8.0,9.0,3.0,7.0,5.0,9.099333722909494
5.0,5.0,6.0,7.0,3.0,7.0,7.0,6.031422996857492,6.124621246658326,6.0,6.0,7.0,2.0,7.0,7.0,11.0
6.0,8.0,6.76376480644341,6.0,7.0,8.0,7.0,5.0,6.374438265143164,7.0,6.0,8.0,5.0,11.0,9.0,8.261165638972962
7.0,11.0,9.0,8.0,9.0,8.0,8.0,4.0,5.1329541247104915,8.474679836155163,6.0,7.0,7.0,7.0,7.0,9.0
1.0,6.0,2.0,4.0,1.0,12.0,3.0,9.0,4.667171523605639,13.0,4.668956466394571,12.0,1.0,6.0,0.0,8.0
1.5064684662596157,1.0,2.0,2.0,2.0,7.0,7.0,5.0,5.0,6.0,5.0,7.0,2.0,7.0,4.0,8.0
2.0,5.0,3.7009039863346627,4.0,1.0,7.0,7.0,0.0,6.028278925144657,13.0,6.0,8.0,0.0,8.0,1.0,8.0
4.0,5.0,5.0,4.0,4.0,7.981159965884329,7.0,2.0,4.0,7.0,6.0,8.0,2.0,9.0,7.0,7.0
3.0,2.0,5.0,4.0,2.0,6.0,10.0,1.0,8.0,10.19950687893563,11.0,8.0,1.0,11.0,2.0,8.0
6.0,6.9014094136568795,6.0,6.058801665795505,3.0,3.0,8.0,5.0,7.0,10.0,7.53274858920962,9.0,3.0,9.0,2.0,6.0
3.0,7.0,4.0,5.0,2.0,8.0,6.0,2.0,7.0,7.0,6.0,7.0,0.0,9.0,4.013009512696889,7.0
4.433251471497445,8.0,5.0,6.0,4.624631972382171,6.0,9.752109650095358,9.0,8.0,7.0,7.0,6.0,2.0,8.0,3.0,8.0
1.0,1.0,2.0,1.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,2.0,8.0,4.0,7.0
5.0,10.0,5.0,8.0,3.0,0.0,1.0,5.0,6.0,0.0,0.0,6.0,0.0,8.0,0.0,8.0
5.0,9.023968054455722,6.205962160679818,7.034277049205051,5.0,8.0,6.0,6.0,5.0,7.0,5.060143033618595,8.0,9.0,6.0,3.0,7.0
4.0,8.0,6.0,6.0,5.0,5.0,8.0,3.9989450415750247,7.0,11.0,9.0,9.0,3.0,8.0,5.0,5.0
2.0,3.0,3.0,2.0,1.0,4.0,8.0,4.0,6.166180487124651,9.29903407431564,10.0,9.0,3.0,9.0,3.0767802806899645,7.0
4.566108257019403,6.0,5.0,4.0,4.0,7.463854218395077,11.0,2.0,2.0,7.0,8.0,8.0,6.0,11.0,1.0,8.0
3.1354342845350827,8.0,3.0,5.0,1.0,1.0,13.0,4.0,3.0,12.0,10.0,6.0,0.0,8.0,2.0,6.0
5.0,8.898509411798251,7.0,6.0,6.0,8.0,6.0,7.0,7.0,7.0,7.0,7.0,3.0,8.0,3.0,8.0
3.0,6.0,4.0,4.0,1.0,7.0,7.0,4.0,4.0,7.0,6.0,7.342876654914438,3.0,8.0,4.0,8.0
3.0,9.0,6.0,5.7624208391578735,5.0,8.0,5.0,0.0,4.0,6.0,3.0,7.0,2.0,7.0,4.0,6.243047160310061
4.0,8.0,6.0,6.0,5.0,8.0,8.0,6.1814419693964835,3.475735643944532,6.0,9.0,8.0,2.738490354320914,11.0,0.0,8.0
7.0,8.0,9.0,12.0,13.0,8.0,9.756157307343186,5.0,1.0,5.0,7.0,10.0,4.687881300527067,14.0,8.0,13.0
3.0,4.0,5.0,3.0,3.0,8.0,5.0,3.0,3.0,9.0,6.0,8.0,7.0,5.0,1.0,8.0
4.0,8.0,5.0,6.0,4.0,6.0,11.0,2.0,7.0,11.0,7.860778817718937,5.0,2.0,11.0,3.0,4.0
3.0,7.0,4.0,5.0,5.0,11.038021367924312,3.610508241809852,4.0,1.0,2.531561113289749,6.0,9.0,6.0,8.0,2.4540372887529602,12.0
4.0,8.0,4.0,5.74999067794567,4.0,6.0,5.990689330382616,9.0,4.0,7.0,5.0,8.0,2.0,7.0,3.7444755002200365,11.0
6.266717940902647,6.0,5.0,4.0,4.0,6.955834103950441,9.432387913244833,3.0,7.0,11.0,8.0,9.0,3.0,8.0,4.0,8.0
7.0,10.0,10.0,8.0,5.0,6.0,7.0,4.139869284220821,9.0,10.0,8.0,9.0,3.0,8.0,4.0,7.0
6.0,9.0,6.0,7.0,4.0,6.0,8.0,8.0,5.215649496013101,9.120245727567166,6.654324971168801,7.0,4.0,8.0,4.0,7.6561524179768385
6.0,9.180289754206523,6.0,6.0,4.0,6.0,8.0,5.0,7.0,9.0,6.0,6.0,5.0,9.0,7.0,5.0
3.0,11.0,4.0,8.0,3.0,9.0,6.0,3.0,7.0,12.0,4.0,9.0,1.0,6.0,2.0,9.060924970116641
3.0,6.923524621516401,3.0,5.59692595964134,3.0,7.0,8.0,7.0,4.0,9.0,7.0,10.0,3.673409030522743,8.0,2.0,9.0
6.0,10.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,9.885055919529462,7.0,7.27712019020449,5.0,9.0,4.862578177865061,7.0
3.0988326304781073,8.0,6.0,6.0,3.0,8.103449687168593,8.0,8.0,8.0,4.62451445246341,7.0,8.0,2.0,7.0,6.0,11.0
7.0,10.0,7.0,7.404364830435395,5.0,7.0,6.0,7.0,8.0,11.0,6.843947387196873,11.0,2.0,11.0,5.0,9.0
3.0,9.0,4.0,6.0,1.9465413470491537,6.0,9.725338240502191,1.0,6.0,8.0,11.0,7.0,0.0,8.0,0.0,8.553867478948755
6.0,14.0,5.0,7.778037580964577,4.0,8.0,10.84560637354189,4.0,5.0,11.052916042160758,5.0,5.981129590985088,3.0,9.0,8.0,11.0
1.0,3.0,3.0,2.0,1.5182486794061067,6.0,8.0,3.0,3.0,10.0,7.0,7.14326942813615,4.0,8.0,0.0,7.0
4.0,7.0,6.0,5.299968055957772,5.0,6.0,4.0,4.0,4.0,5.0,3.0,7.0,3.0,6.0,5.0,6.0
1.0,4.0,3.5098305567875214,3.0,1.0,7.0,8.0,0.0,7.0,13.0,6.0,8.0,0.0,8.0,3.2539912793130146,7.0
4.0,9.0,6.0,6.0,5.0,6.0,7.052863443251029,6.0,5.1069336122906135,6.0,4.0,9.0,2.260536765710484,6.0,6.0,7.788683643578116
3.0,7.0,5.0,5.0,6.0,6.074198813423028,6.0,5.0,4.0,6.0,6.0,8.0,4.168085545243934,8.0,8.0,10.0
3.0,4.0,4.0,3.0,2.0,5.0,12.0,3.0,7.0,11.0,9.0,4.0,1.0,11.0,2.0,5.0
