col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
3.0,6.422837805307785,5.272260186735007,6.0,4.0,6.0,8.703248361251708,3.0,8.0,8.0,6.448156564061318,9.0,3.6269366112588868,8.870057870939343,7.0,6.0
4.0,6.377813707608817,6.030773251393841,8.0,4.068635677838455,7.0,8.0,3.0,5.105819177768248,6.0,7.55500904897285,10.0,6.0,11.0,7.0,5.0
4.2854469373816535,4.0,5.0,5.3029486669386845,3.6029558547537417,10.0,5.80651372699538,2.0,4.857659437933507,9.0,6.38711094624731,8.122218215840569,2.7683957289812713,6.0,2.0,7.795512866666898
2.0,4.0,2.0,3.0,2.0,7.0,7.0,5.0,7.0,7.0,6.0,8.62084087806303,2.584547785989714,8.0,5.0,10.0
4.0,5.0,5.0,7.0,3.0,8.0,7.0,3.4319563603971246,6.0,9.770299112140426,6.126166631863594,9.0,3.0,8.0,5.0,9.0
4.0,6.40535884130129,4.0,7.0,2.9121444563782317,3.0,8.439728530197609,5.0,9.0,9.471871818305765,6.0,13.0,0.0,8.0,7.0,9.0
4.14723623413823,5.0,4.0,3.0,3.3687791987270903,8.0,7.0,3.4868598182667805,4.0,10.229641107984238,6.0,8.0,2.0,8.0,3.0,8.184543125881195
2.0,2.0,4.8732077471705075,4.835182720751455,2.0,8.0,8.0,5.0,4.272388034717909,7.0,8.0,10.0,2.0,9.0,5.132085520562681,8.0
4.0,8.0,6.0,6.0,4.0,6.0,6.0,3.5141465541489167,6.0,7.0,6.235703999132971,11.0,3.0,8.445572534017776,4.0,9.0
2.0,3.0,3.0,2.0,2.0,8.0,7.561381902882128,6.0,5.041476378463632,9.0,5.0,8.0,2.0,8.495231099078563,3.3969980363104195,8.0
3.0,6.281828114277088,5.0,4.0,4.0,7.722480690854084,6.0,3.4742351266786855,6.0,11.0,4.0,7.0,4.0,7.0,5.0,9.0
4.0,7.0,5.0,5.0,3.800986006862696,6.0,11.0,8.0,4.865748414879807,10.289405711662573,5.0,3.0,2.9873118492870145,10.0,4.0,7.0
5.0,7.0,5.0,5.0,2.0,3.0,12.0,3.2459639737216928,4.305386666094912,12.0,12.0,7.0,2.0,10.0,1.0,8.0
4.0,6.0,6.121713191449799,9.0,3.3321300372864835,8.0,9.0,7.0,6.0,6.0,6.311712125378316,9.0,4.0,7.0,6.0,10.0
6.175127091239701,6.537959724642396,9.0,7.0,7.0,10.0,6.0,2.0,5.0,9.0,6.468005224314264,8.586367748028572,3.3971701690239984,7.181467304330294,2.0,9.0
4.349772051465162,2.0,4.0,3.0,1.0,7.0,7.691514681745191,2.0,3.0,10.07021857213033,11.0,9.0,2.0,8.341795209607435,1.0,8.0
4.0,8.0,5.0,6.0,6.0,8.0,8.538824692809715,3.466916283995441,5.393706707680569,7.0,5.650931318031914,5.0,3.0550826649618408,8.0,7.0,9.0
8.0,12.0,7.0,6.0,4.0,9.0,8.0,3.580259638003741,7.0,10.88016203631396,4.0,6.0,6.0,9.0,4.0,8.653101591044761
4.0,5.0,6.0,5.0,6.0,8.0,7.0,5.0,5.579451645041028,7.0,5.426214180498657,7.0,5.0,9.00646647448453,9.0,10.0
6.0,10.0,8.0,8.0,3.40880348408676,10.0,5.0,3.590121361564055,8.0,11.0,3.0,7.0,4.0,6.906600631863654,4.0,9.0
2.0,7.0,6.049612976183313,5.0,2.0,7.900365980561057,7.0,9.0,5.053142948269338,9.328907623845287,5.412878991096407,8.942846260765354,2.0,8.0,8.0,9.0
4.014301829657268,10.0,5.0,5.0,3.9296675502326073,6.0,9.0,3.4184470393455415,3.0,10.0,7.100539755514824,6.0,2.8597656716896025,9.0,4.0,7.0
5.9626514315256784,9.0,7.0,11.0,8.0,7.0,9.55223748604693,4.0,5.175569357044017,9.23106926767717,10.0,11.0,5.0,9.475302563426942,10.0,9.0
4.175187902946246,6.333356463280257,5.0,5.0,3.0,8.0,6.0,7.0,4.0,10.211780569339995,5.0,8.0,3.0,8.0,3.0,7.0
6.0,9.0,6.0,7.0,4.239801110096337,4.0,5.8345294760198465,14.014628363766912,3.0,10.16924508624657,8.0,10.132615572364307,7.0,11.0,2.0,9.690030943210234
2.0,6.328559476484537,3.0,5.616804243393902,2.0,7.0,8.0,3.4564492548473886,9.0,6.0,6.0,9.0,2.0,8.0,7.0,8.0
3.4953823677437703,0.0,6.0553194044974825,0.0,4.081322782550209,7.0,7.0,10.0,0.0,6.0,6.0,8.0,4.0,8.771257691032218,0.0,8.0
4.0,6.216337174682326,5.0,6.0,2.0,7.059178024183329,8.0,3.420928727863683,6.0,9.813760611837887,8.0,8.383184153873021,3.0,7.0,5.0,10.0
