col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
3.0,6.0,5.0,6.0,4.0,6.0,7.0,3.0,3.6924448019498857,8.0,12.122821171187985,9.0,3.0,7.0,7.0,6.0
4.0,11.0,6.0,8.0,8.0,7.0,8.0,3.0,5.0,6.0,6.0,10.0,6.0,11.0,7.0,5.0
3.0,4.0,5.0,3.0,2.0,10.0,2.0,2.0,1.0,9.0,11.630827408499568,9.0,2.0,6.0,2.0,7.538054016505036
2.0,4.0,2.0,3.0,7.126864402564475,7.0,7.0,10.358030846187038,7.0,7.0,6.0,8.0,2.0,8.0,5.0,10.0
4.0,5.0,5.0,7.0,7.27035330762802,8.0,7.0,8.0,3.198334406437429,6.0,7.0,9.0,3.0,8.0,5.0,9.0
4.0,10.0,4.0,7.0,4.0,3.0,8.0,5.0,9.0,7.0,6.0,13.0,0.0,8.0,3.59403692728753,9.0
3.0,5.0,4.0,3.0,7.324194053352039,8.0,6.418033665990434,7.0,3.434394479145421,9.603046548877082,11.973511161497614,8.0,2.0,8.0,3.0,8.0
2.0,2.0,2.0,3.0,2.0,8.0,8.0,5.0,2.0,7.0,8.0,10.0,2.0,9.0,3.9169528143001,8.0
4.0,8.0,6.0,6.0,4.0,6.0,6.505326506689761,6.0,6.0,7.0,11.511820502610899,11.0,3.0,10.0,4.0,9.0
6.258188195885999,3.0,3.0,2.0,2.0,8.0,7.0,6.0,4.0,9.0,5.0,8.0,2.0,8.0,2.0,8.0
3.0,5.0,5.0,4.0,4.0,9.0,6.0,3.0,6.0,11.55603489485757,4.0,7.0,4.0,7.0,5.0,9.0
4.0,7.0,5.0,5.0,3.0,6.0,11.0,8.0,2.0,10.0,5.0,3.0,1.0,5.228566339434431,4.0,7.0
5.0,7.0,5.0,5.0,6.862312893667374,3.0,12.0,5.0,4.0,12.0,12.0,9.234065288827697,2.0,10.0,1.0,8.0
4.0,6.0,6.0,9.0,3.0,8.0,6.20390058505109,7.0,2.5233890143336914,10.762562434230132,9.0,9.0,4.0,7.0,6.0,10.0
6.404913640144794,4.120859096483667,9.0,7.0,6.905103965313798,10.0,6.0,2.0,5.0,9.0,3.0,6.0,9.0,8.0,2.0,9.0
2.0,2.0,1.4006734391192723,3.0,1.0,7.0,12.0,2.0,3.0,7.0,11.0,9.858142027475637,2.0,10.0,1.0,8.0
4.0,8.0,2.9981888726150734,6.0,6.0,8.0,7.0,12.576450454872969,6.0,7.0,6.0,5.0,2.0,8.0,7.0,9.0
8.0,12.0,7.0,6.0,4.0,9.0,8.0,3.0,7.0,9.0,4.0,6.0,6.0,9.0,4.0,8.0
4.0,5.0,6.0,5.0,6.0,8.0,7.0,5.0,5.0,7.0,6.0,7.0,5.0,5.472871273124745,9.0,10.0
6.0,10.0,8.0,8.0,7.203352676308505,10.0,5.0,4.0,8.0,11.0,3.0,7.0,4.0,4.988916276942681,4.0,9.0
2.0,7.0,3.0,5.0,2.0,6.0,7.0,9.0,6.0,10.74594538634724,6.0,7.0,2.0,8.0,8.0,6.979645792218178
6.0,10.0,5.0,5.0,3.0,6.0,9.0,6.0,3.0,10.0,5.0,6.0,4.0,9.0,4.0,7.0
7.0,9.0,7.0,11.0,8.0,7.0,10.0,4.0,4.0,9.844120246821847,10.0,11.0,5.0,11.0,10.0,9.0
3.0,2.194969469855507,5.0,5.0,3.0,8.0,6.0,7.0,4.0,8.46398114784067,5.0,8.0,3.0,8.0,3.0,7.0
6.035883617933928,9.0,1.7284324662811221,7.0,5.0,4.0,8.214261418430574,3.0,3.0,9.0,8.0,7.0,7.0,11.0,2.0,5.0
6.415336699884315,5.0,3.0,3.0,7.207001902408633,7.0,8.0,5.0,9.0,6.0,6.0,9.0,2.0,8.0,7.0,8.0
1.0,0.0,1.0,6.858633138877672,7.405633848261411,7.0,7.0,10.0,0.0,6.0,6.0,8.0,4.0,8.0,0.0,8.0
4.0,7.0,5.0,6.0,2.0,8.0,8.0,7.0,6.0,5.0,8.0,9.0,3.0,7.0,5.0,7.081923336789012
5.0,5.0,6.0,7.0,3.0,7.0,7.0,10.690498502415114,3.6972644639661625,6.0,6.0,7.0,2.0,7.0,7.0,11.0
6.0,8.0,2.438811808717015,6.0,7.0,8.0,7.0,5.0,3.092530072494547,7.0,6.0,8.0,5.0,11.0,9.0,7.058955396272452
7.0,11.0,9.0,8.0,9.0,8.0,8.0,4.0,2.609716844238357,10.841614338494127,6.0,7.0,7.0,7.0,7.0,9.0
1.0,6.0,2.0,4.0,1.0,12.0,3.0,9.0,4.341171914340893,13.0,11.925660243544712,12.0,1.0,6.0,0.0,8.0
6.4434881150248335,1.0,2.0,2.0,2.0,7.0,7.0,5.0,5.0,6.0,5.0,7.0,2.0,7.0,4.0,8.0
2.0,5.0,2.4276171663950077,4.0,1.0,7.0,7.0,0.0,3.412361719217398,13.0,6.0,8.0,0.0,8.0,1.0,8.0
4.0,5.0,5.0,4.0,4.0,7.867405629846628,7.0,2.0,4.0,7.0,6.0,8.0,2.0,9.0,7.0,7.0
3.0,2.0,5.0,4.0,2.0,6.0,10.0,1.0,8.0,11.273230708952852,11.0,8.0,1.0,11.0,2.0,8.0
6.0,6.501040814169439,6.0,6.87034895810225,3.0,3.0,8.0,5.0,7.0,10.0,7.83165483049457,9.0,3.0,9.0,2.0,6.0
3.0,7.0,4.0,5.0,2.0,8.0,6.0,2.0,7.0,7.0,6.0,7.0,0.0,9.0,3.9604797046805413,7.0
7.542009066851974,8.0,5.0,6.0,8.021529699581233,6.0,8.206883503822986,9.0,8.0,7.0,7.0,6.0,2.0,8.0,3.0,8.0
1.0,1.0,2.0,1.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,2.0,8.0,4.0,7.0
5.0,10.0,5.0,8.0,3.0,0.0,1.0,5.0,6.0,0.0,0.0,6.0,0.0,8.0,0.0,8.0
5.0,4.534680037345678,7.877449068839906,7.352460064063064,5.0,8.0,6.0,6.0,5.0,7.0,9.771817800863863,8.0,9.0,6.0,3.0,7.0
4.0,8.0,6.0,6.0,5.0,5.0,8.0,11.022812774175806,7.0,11.0,9.0,9.0,3.0,8.0,5.0,5.0
2.0,3.0,3.0,2.0,1.0,4.0,8.0,4.0,2.417333936736959,9.489742361725913,10.0,9.0,3.0,9.0,2.3048757823545682,7.0
4.3046147523999485,6.0,5.0,4.0,4.0,5.691460037045677,11.0,2.0,2.0,7.0,8.0,8.0,6.0,11.0,1.0,8.0
5.111829573038055,8.0,3.0,5.0,1.0,1.0,13.0,4.0,3.0,12.0,10.0,6.0,0.0,8.0,2.0,6.0
5.0,3.5647439368270732,7.0,6.0,6.0,8.0,6.0,7.0,7.0,7.0,7.0,7.0,3.0,8.0,3.0,8.0
3.0,6.0,4.0,4.0,1.0,7.0,7.0,4.0,4.0,7.0,6.0,9.89658043627901,3.0,8.0,4.0,8.0
3.0,9.0,6.0,7.341059082832768,5.0,8.0,5.0,0.0,4.0,6.0,3.0,7.0,2.0,7.0,4.0,4.616215475867481
4.0,8.0,6.0,6.0,5.0,8.0,8.0,10.299463987977793,3.207238132046752,6.0,9.0,8.0,8.193228558379197,11.0,0.0,8.0
