Dataset,Missing%,Additional CTGAN data%,Average mRMSE,St Dev mRMSE,Average RMSE num,St Dev RMSE num,Average RMSE cat,St Dev RMSE cat,Average PFC (%),St Dev PFC (%),Average execution time (s),St Dev execution time (s)
mushroom,10,0,0.2935,0.0035,,,0.2935,0.0035,8.6165,0.205,238.9194,19.7061
mushroom,10,50,0.3022,0.0046,,,0.3022,0.0046,9.1341,0.2798,358.3685,12.0076
mushroom,10,100,0.3021,0.004,,,0.3021,0.004,9.131,0.2417,734.5661,811.3721
mushroom,30,0,0.2961,0.0036,,,0.2961,0.0036,8.7706,0.2147,213.3973,1.6432
mushroom,30,50,0.3146,0.0303,,,0.3146,0.0303,9.9892,2.0738,328.3864,3.552
mushroom,30,100,0.298,0.0031,,,0.298,0.0031,8.8791,0.1859,293.014,6.8196
mushroom,50,0,0.3095,0.0077,,,0.3095,0.0077,9.5849,0.4842,190.1532,0.863
letter,10,0,0.1251,0.0023,0.1251,0.0023,,,,,21.0431,0.118
letter,10,50,0.1336,0.0049,0.1336,0.0049,,,,,78.3065,0.7411
letter,10,100,0.1397,0.0054,0.1397,0.0054,,,,,78.8615,0.5824
letter,30,0,0.1331,0.0064,0.1331,0.0064,,,,,21.0053,0.0501
letter,30,50,0.1687,0.0145,0.1687,0.0145,,,,,78.0247,0.6558
letter,30,100,0.1859,0.016,0.1859,0.016,,,,,78.8655,0.5911
letter,50,0,0.1438,0.0069,0.1438,0.0069,,,,,20.9704,0.0267
bank,10,0,0.4627,0.0217,0.2169,0.019,0.4084,0.0177,16.7124,1.4791,99.1968,1.1527
bank,10,50,0.5034,0.0154,0.2412,0.0262,0.4412,0.0113,19.4775,0.9909,125.6234,0.8909
bank,10,100,0.5307,0.0104,0.2834,0.0161,0.4485,0.0081,20.1214,0.7198,104.249,0.756
bank,30,0,0.4761,0.0125,0.2073,0.0127,0.4284,0.0126,18.3693,1.0951,99.2499,1.4671
bank,30,50,0.5549,0.0262,0.3159,0.0466,0.4543,0.016,20.6677,1.4746,126.0935,0.8514
bank,30,100,0.539,0.0182,0.293,0.0109,0.4523,0.0179,20.4887,1.6293,104.4494,2.0053
bank,50,0,0.4861,0.0148,0.2323,0.0187,0.4266,0.0161,18.2228,1.4337,99.4519,0.7285
credit,10,0,0.279,0.005,0.0858,0.0085,0.2654,0.0052,7.0464,0.275,120.9005,0.9072
credit,10,50,0.2894,0.0071,0.0929,0.0051,0.274,0.0069,7.5127,0.3832,223.8834,0.9977
credit,10,100,0.325,0.0117,0.1188,0.0028,0.3024,0.012,9.161,0.7289,161.2142,0.8204
credit,30,0,0.2945,0.0101,0.1192,0.0216,0.2686,0.0067,7.2177,0.3637,123.0911,2.0601
credit,30,50,0.2997,0.012,0.1074,0.0297,0.2784,0.0066,7.7549,0.3735,462.1794,649.3443
credit,30,100,0.294,0.0112,0.0875,0.0173,0.2803,0.007,7.8603,0.3921,663.0632,1413.0352
credit,50,0,0.3145,0.0125,0.1387,0.0271,0.2812,0.0059,7.9089,0.3318,152.2488,9.6112
news,10,0,0.4057,0.0069,0.1462,0.0061,0.3784,0.0057,14.3255,0.4367,194.4205,7.6151
news,10,50,0.4643,0.0266,0.1798,0.0057,0.4281,0.0269,18.3951,2.2624,185.1959,9.9114
news,10,100,0.4787,0.0203,0.1845,0.004,0.4417,0.0209,19.5547,1.7594,576.178,1151.2448
news,30,0,0.4309,0.0048,0.1602,0.0023,0.4,0.0046,16.0023,0.3667,186.5144,1.9078
news,50,0,0.4543,0.0042,0.1769,0.0062,0.4184,0.0041,17.5034,0.3418,370.264,548.7468
