Dataset,Missing%,Additional CTGAN data%,Batch-size,Hint-rate,Alpha,AUROC,MSE,Execution time (s)
bank,10,0,64,0.1,1.0,0.5863469422556532,-,10262.065294027328
bank,30,0,128,0.1,10.0,0.574859480418753,-,10198.557935714722
bank,50,0,128,0.1,2.0,0.5687674412576703,-,8337.945612192154
credit,10,0,64,0.1,2.0,0.6440533439785051,-,6396.636848926544
credit,30,0,64,0.1,10.0,0.630315557373955,-,6468.512268066406
credit,50,0,64,0.1,2.0,0.6208731956403212,-,6503.991488933563
letter,10,0,256,0.9,2.0,0.8998837960209856,-,2812.391602039337
letter,30,0,64,0.1,2.0,0.785017155994931,-,3027.4353351593018
letter,50,0,64,0.1,10.0,0.672570634052692,-,6981.271498918533
mushroom,10,0,128,0.1,0.5,0.999252615844544,-,9849.587314128876
mushroom,30,0,256,0.1,2.0,0.9937575197755024,-,11812.838255882263
mushroom,50,0,256,0.1,10.0,0.9730563652139248,-,5381.684337854385
news,10,0,256,0.9,1.0,-,230306915.81140283,4669.615540981293
news,30,0,128,0.9,1.0,-,232470851.2627206,8734.772420883179
news,50,0,256,0.5,1.0,-,231929527.9219277,8072.309530735016
