age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
40.0,,,,,yes,no,telephone,jul,mon,94.0,,999.0,0.0,,1.4,,,4.96,5228.1,no
31.0,admin.,,university.degree,no,no,no,cellular,may,mon,116.0,4.0,999.0,0.0,nonexistent,-1.8,,-46.2,,5099.1,no
59.0,retired,married,basic.4y,no,,no,cellular,may,mon,13.0,,,1.0,failure,,92893.0,-46.2,1354.0,5099.1,no
43.0,,divorced,,no,yes,no,,,tue,94.0,5.0,,,,1.4,93918.0,-42.7,,,no
39.0,,,high.school,unknown,,no,telephone,may,thu,,2.0,,,nonexistent,1.1,93994.0,-36.4,4.86,5191.0,no
33.0,management,married,basic.9y,no,no,no,,apr,fri,727.0,2.0,999.0,0.0,,-1.8,93075.0,,1405.0,,no
35.0,admin.,married,professional.course,no,yes,no,,may,mon,115.0,3.0,999.0,0.0,,,92893.0,-46.2,1354.0,5099.1,no
,,single,basic.9y,,,no,,may,,201.0,2.0,,0.0,,1.1,93994.0,-36.4,,5191.0,no
36.0,blue-collar,married,basic.9y,no,,,,,tue,93.0,2.0,999.0,0.0,nonexistent,,93994.0,-36.4,4857.0,5191.0,no
28.0,technician,,university.degree,no,yes,no,cellular,,wed,174.0,7.0,999.0,0.0,nonexistent,1.4,93918.0,-42.7,4962.0,5228.1,no
47.0,housemaid,,,no,no,yes,cellular,,tue,253.0,1.0,999.0,1.0,failure,-0.1,,,4153.0,5195.8,no
50.0,entrepreneur,,basic.4y,,yes,,cellular,nov,thu,,1.0,999.0,0.0,nonexistent,,,-42.0,4076.0,,no
39.0,blue-collar,,basic.6y,no,yes,no,telephone,,,233.0,1.0,,0.0,nonexistent,,94465.0,-41.8,,5228.1,no
48.0,admin.,,university.degree,,no,yes,telephone,,,,1.0,999.0,0.0,nonexistent,1.1,93994.0,,4859.0,5191.0,no
52.0,blue-collar,divorced,basic.4y,no,yes,no,cellular,,,292.0,8.0,,0.0,nonexistent,1.4,93918.0,,4963.0,5228.1,no
,,,university.degree,no,yes,no,cellular,jun,,91.0,,999.0,0.0,nonexistent,-2.9,,,1262.0,5076.2,no
,management,married,university.degree,,no,,,mar,thu,148.0,,999.0,,failure,,93369.0,-34.8,0.654,,yes
33.0,management,,university.degree,no,,,,nov,wed,143.0,,999.0,1.0,,,93.2,-42.0,4.12,,no
35.0,management,married,,no,no,no,cellular,jul,wed,130.0,,999.0,0.0,nonexistent,,,,4962.0,5228.1,no
54.0,housemaid,married,high.school,,,no,,apr,thu,,1.0,999.0,0.0,,-1.8,93075.0,-47.1,1365.0,,no
32.0,services,single,high.school,no,yes,no,telephone,may,wed,,2.0,,,nonexistent,1.1,93994.0,-36.4,,5191.0,no
32.0,blue-collar,single,,,yes,no,telephone,may,,,1.0,999.0,1.0,failure,-1.8,92893.0,-46.2,1281.0,,no
