age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contact,day_of_week,default,education,housing,job,loan,marital,month,poutcome,y
,94.0,,,0.0,,,-42.7,,,,mon,unknown,basic.9y,,,no,married,,,no
,116.0,4.0,999.0,,-1.8,,,,,,,,university.degree,,,,married,,,no
,13.0,,,1.0,-1.8,,-46.2,,5099.1,cellular,mon,no,,,retired,,,may,,no
,,,,,1.4,93918.0,,,,,,no,basic.9y,yes,housemaid,,divorced,jul,,no
39.0,344.0,2.0,,,1.1,,-36.4,,,,,,high.school,,admin.,,,,nonexistent,no
,,2.0,999.0,,-1.8,,-47.1,1405.0,,cellular,,,,,management,no,,,,no
,,3.0,,,-1.8,92893.0,,,,cellular,mon,,professional.course,,,,,,,no
36.0,201.0,2.0,999.0,,,,,,,,tue,,,,,no,single,,nonexistent,no
,,2.0,,,1.1,,,,,telephone,,,,,,no,,may,,no
28.0,,,,,,,,,,,wed,,,yes,,,,jul,nonexistent,no
,,1.0,,1.0,-0.1,,-42.0,,,,,,,,housemaid,,,,,no
,,,,,,93.2,,4076.0,5195.8,,,,,,,,,,,no
,,,999.0,,,,,,,,,no,,yes,,,,jun,nonexistent,no
,,,999.0,,,,,,5191.0,,fri,,university.degree,,admin.,,,,,no
,292.0,,,,1.4,,-42.7,,,cellular,,no,,,,,,,,no
,91.0,,999.0,,,,-40.8,,5076.2,cellular,,,,yes,,,married,,nonexistent,no
36.0,,,,2.0,,,,0.654,5008.7,,thu,no,,no,,,,mar,,yes
,143.0,,999.0,,,,,4.12,5195.8,cellular,wed,,university.degree,no,management,no,,nov,failure,no
,,,,0.0,1.4,,,,5228.1,,,,university.degree,,,no,,,nonexistent,no
,,1.0,,,-1.8,93075.0,,,,,,,,yes,,,married,,nonexistent,no
,,2.0,,,,,,,,,,,,,services,,,,,no
,,,999.0,,-1.8,,,,,,wed,,,,,,,,,no
,,,,0.0,,,,,,,,,,yes,,,,jun,,no
,398.0,2.0,,,1.4,,-41.8,,,,fri,unknown,basic.6y,,blue-collar,,,,,no
28.0,,,999.0,,-1.8,93075.0,,,,,,unknown,,,student,,,,,no
,,,,,,,,,,cellular,,,basic.6y,,admin.,no,,may,,no
,551.0,1.0,999.0,,-1.8,92893.0,-46.2,,,,,,university.degree,,,no,,may,failure,no
,597.0,,,0.0,,,-36.4,,,telephone,,,,yes,,no,single,,,no
,81.0,,,,,92893.0,,1313.0,,,,,,,,,,,nonexistent,no
34.0,19.0,,,,,92893.0,,1281.0,,cellular,,no,,,,no,,,,no
54.0,,,999.0,,-0.1,,,4153.0,5195.8,,,,,,,no,,,nonexistent,no
,104.0,1.0,,0.0,-1.8,,-46.2,,5099.1,,thu,,,,,no,,,,no
,,,,,-0.1,,,,5195.8,,fri,no,,,,no,married,,failure,no
82.0,139.0,,999.0,,,,,,,,,,basic.4y,unknown,,,,,nonexistent,yes
,,3.0,999.0,0.0,,93918.0,-42.7,,5228.1,,,no,,,,,married,,nonexistent,yes
24.0,,,,,,,,,,,,no,,,,,,,,no
,,,,,,93075.0,-47.1,,,,,,,no,,,single,,,no
45.0,567.0,,,,,93.2,,,,,,no,,,,,divorced,nov,nonexistent,no
,,,,1.0,,,,,,,,,,yes,services,,,,failure,no
,,,999.0,,,,,4855.0,,,thu,,,,,,,,,no
,,,999.0,,,,-41.8,,5228.1,,,,university.degree,,admin.,,,,nonexistent,no
25.0,,4.0,,0.0,,,,4859.0,5191.0,telephone,,,,,,,single,may,,no
,,,999.0,1.0,-3.4,92649.0,,,,cellular,,no,,yes,,,,,,yes
,,1.0,999.0,,,,,,,cellular,,,university.degree,,,,married,jul,,no
,296.0,,,,,93.2,,,5195.8,,,,,,,,single,,success,no
25.0,,,999.0,0.0,,92649.0,-30.1,0.714,,,,,,yes,,,,,,no
,113.0,,,0.0,,93444.0,,,5228.1,,,,,no,,,,aug,,no
,,,,,,,-36.4,,,telephone,thu,,high.school,,,,,,,no
,,8.0,,,1.4,,,4865.0,,,mon,no,,,services,no,married,,,no
89.0,,,,,-1.1,,,0.881,,,,,,,,,divorced,,,yes
,,,,1.0,,,,,,,fri,no,university.degree,yes,,yes,married,,failure,no
,,,,,,,,4153.0,,,,,,no,admin.,,,,,no
,,,999.0,,,,-42.0,,,,,,,,,,,,nonexistent,no
,93.0,,,,1.4,,-36.1,4964.0,5228.1,cellular,,,unknown,yes,housemaid,,,,,no
,,2.0,999.0,,,,,,,telephone,,no,,,,,,,,no
,210.0,1.0,6.0,,-3.4,,,,5017.5,,,,,,student,,,oct,success,yes
,,,,,-1.8,,,,,cellular,,,high.school,yes,,,single,may,,no
,60.0,,999.0,,,,,4191.0,,,mon,,,,self-employed,,,nov,,no
57.0,,3.0,,,,,,,5228.1,,wed,,,yes,services,,,,,no
58.0,,,,,,,,,5099.1,,,no,,,,no,,,,yes
,,,999.0,0.0,1.4,93444.0,-36.1,4963.0,,cellular,,no,,yes,,,,,,no
,,,,,,93994.0,,,5191.0,,thu,,,,,no,married,,nonexistent,no
,227.0,,,,,,,,,cellular,,,high.school,,,,,may,,no
,,1.0,,,,,,4961.0,,,mon,,,no,,,,,,no
,,2.0,,,1.4,,,4961.0,,telephone,mon,,basic.9y,yes,,no,married,,,no
,72.0,,999.0,,,94465.0,-41.8,,,,,unknown,,no,blue-collar,,,jun,nonexistent,no
,,1.0,,,,,-46.2,,,,,no,basic.9y,no,,no,married,,nonexistent,no
85.0,,,,,,93749.0,-34.6,,,cellular,,,basic.4y,yes,,no,,apr,,yes
,,2.0,999.0,,,92201.0,-31.4,0.881,,,fri,,,yes,,no,single,aug,,no
,158.0,,999.0,1.0,-0.1,,-42.0,,,cellular,fri,,,,,,,,failure,no
,,1.0,,0.0,,,,4962.0,,,,,,,,,married,jul,,no
,89.0,,,,-0.1,,-42.0,,5195.8,cellular,fri,,high.school,,,no,,,,no
30.0,,,999.0,,-0.1,,,4021.0,,,fri,,,,,,single,,,no
39.0,1007.0,,999.0,,,,,,,,,,university.degree,,,no,,may,,no
50.0,,2.0,999.0,,,93994.0,,,,,thu,,,,,,,may,,no
,,,,0.0,1.1,,,,,,fri,no,,no,,,,may,nonexistent,no
,,3.0,,,,,-40.3,0.827,,,,no,unknown,,technician,unknown,,jul,,yes
56.0,129.0,3.0,999.0,,,94465.0,,,,,,,university.degree,,,,married,,nonexistent,no
,193.0,6.0,,,,93994.0,,,,telephone,,,,,admin.,,single,may,nonexistent,no
,613.0,,,,,,,4153.0,,,tue,no,,yes,technician,,married,nov,,no
,986.0,,,3.0,,,,,,telephone,,,,,,,,nov,,no
,434.0,,,,-1.8,92893.0,,,,,thu,,,,,,,,,no
,,,999.0,,,93918.0,-42.7,4962.0,,telephone,,,unknown,,,,married,jul,,no
50.0,,,,0.0,-0.1,,,4245.0,,telephone,,,,,,unknown,,nov,,no
,,,,,-1.8,,,1281.0,,,,,,,,no,,may,,no
,349.0,1.0,999.0,,,,,,5191.0,telephone,tue,,university.degree,,,,single,may,nonexistent,no
,,,999.0,,,93918.0,,4.96,,,,no,,,blue-collar,yes,,,nonexistent,no
40.0,,,,,-0.1,,,,5195.8,,,,,,,,,,nonexistent,no
,491.0,,,,,,,,,telephone,tue,,high.school,,,,,,,no
,,4.0,999.0,,,,,,,telephone,thu,,,,,no,married,,,no
,123.0,,999.0,,,,-42.0,,5195.8,,,,,yes,admin.,no,,,,no
36.0,,,,,,92893.0,,,,,,,,,,,,,,no
,104.0,,,,-0.1,,,4191.0,,,,,,no,admin.,no,divorced,nov,,no
,,,,,,,,,,,mon,unknown,basic.4y,no,housemaid,,,,,no
,,,999.0,0.0,1.4,93444.0,,4964.0,,cellular,,,,yes,,,married,aug,nonexistent,no
,14.0,20.0,999.0,,,,-42.7,4968.0,,,,,basic.4y,yes,,yes,married,,,no
,,6.0,999.0,,1.4,93918.0,,4963.0,,,,,university.degree,no,admin.,,,,nonexistent,no
,,,,0.0,1.1,,,,5191.0,,,,basic.9y,,,,married,,nonexistent,no
,,3.0,,,1.4,94465.0,,,,,tue,unknown,,,,no,,jun,nonexistent,no
32.0,,3.0,999.0,,,93918.0,-42.7,,,cellular,,,,,,no,married,jul,,no
44.0,254.0,,,,,93994.0,-36.4,4856.0,,,,,,,,,married,,,no
,,1.0,,0.0,,93994.0,,,5191.0,telephone,,,university.degree,,admin.,,single,may,,no
,,,,,-1.8,,-47.1,,,,thu,,,,,,married,,,no
,169.0,,,,,,-46.2,,5099.1,,,,university.degree,,,,,may,nonexistent,no
,14.0,8.0,,,,92893.0,,,5099.1,cellular,,no,,no,,no,single,,,no
39.0,,,,,1.4,,,4.96,,,,,basic.9y,,,,,jul,nonexistent,no
29.0,,,,,,,,,5099.1,cellular,,no,basic.6y,,,,married,,,no
36.0,,,,,-1.8,,,1281.0,,,,,,,,no,,,failure,yes
,227.0,,999.0,,,,,,5099.1,cellular,fri,,,,services,,,may,failure,no
,587.0,,,,,,,4.86,,,,,university.degree,,management,,,,,no
,554.0,2.0,999.0,,,,,4.96,,,,no,,,,,,,,no
49.0,418.0,,,,1.1,,-36.4,,,,,,,yes,,,married,,,no
51.0,,,999.0,1.0,,92893.0,-46.2,,5099.1,,,,high.school,,,no,,,failure,yes
,64.0,1.0,,,,93444.0,,4963.0,,,,,,,,,,,,no
33.0,114.0,5.0,,0.0,,,-46.2,,,telephone,,no,,no,,,,may,nonexistent,no
36.0,237.0,7.0,999.0,,1.4,93918.0,,,5228.1,,,no,professional.course,,technician,,,jul,,no
60.0,,,,,1.4,93444.0,,4966.0,,,,no,,no,,no,married,,nonexistent,no
31.0,,,999.0,0.0,,93918.0,-42.7,,5228.1,,,unknown,,,admin.,no,married,jul,nonexistent,no
,244.0,,,,,,-42.0,,,cellular,,,,,technician,,,nov,,no
47.0,,,999.0,0.0,,,,4957.0,,cellular,fri,,basic.9y,,,no,married,,,no
,,,,,,92963.0,,,,,mon,,university.degree,,,unknown,single,,,no
,,,999.0,0.0,1.4,,-42.7,,5228.1,,thu,,,yes,,no,,,,no
31.0,379.0,,999.0,0.0,-1.8,,,,,,mon,,high.school,,,,,,,no
34.0,,,999.0,0.0,,,,,,,fri,no,high.school,no,,no,,,,yes
30.0,,,,,1.1,93994.0,,,,telephone,fri,,,yes,,,,may,,no
38.0,118.0,,,,,,-39.8,,4991.6,,,no,,,,,,jun,nonexistent,no
31.0,250.0,1.0,,,,93.2,,,,,,no,professional.course,,,,,,,no
,136.0,3.0,,,1.1,,,,,,fri,,basic.9y,,,,,may,,no
,165.0,,,0.0,,,,,5228.1,cellular,,,,,,,married,,nonexistent,no
,,,,,,,,1405.0,5099.1,,,,,,services,,,,,no
,,1.0,999.0,,-0.1,93.2,-42.0,,,,,,,,,,divorced,,,yes
51.0,,,,,,,-36.4,,,,mon,,,,,no,,,nonexistent,no
30.0,,3.0,,,,,,4963.0,,,wed,,,,,yes,,,,no
27.0,93.0,,,,,,-31.4,,,,,,,,,,,,success,no
,,,999.0,,1.4,93918.0,,4963.0,,,,,,,,yes,,,,no
,,,,,,,,,5099.1,telephone,,,,,,,,,,no
,,,,,,93.2,,,,,,,,no,,,,,,yes
,,5.0,,0.0,,,,,,cellular,,no,,,,,,,nonexistent,no
,,,,,,,-41.8,,5228.1,,,,high.school,,,no,,jun,,no
,,,,,1.1,,,,,,mon,,,,,,married,,,no
,,,,0.0,,93994.0,,,,,wed,,,,,,,,,no
48.0,,,999.0,,1.1,,,,,,,,high.school,,technician,no,,,nonexistent,no
,,5.0,,,1.4,,,4963.0,,,,no,,,services,,,jul,,no
43.0,,1.0,,,1.4,,,,5228.1,,thu,no,,,services,,,,nonexistent,no
28.0,,,,0.0,,,,,,,,no,,,,no,single,,,no
32.0,131.0,,,,,93444.0,,,5228.1,,,no,,,technician,yes,,,,no
43.0,,,,,,,-42.0,,,,,,university.degree,,,,,nov,nonexistent,no
,,,,0.0,1.1,,,,5191.0,telephone,,,,,,,,,,no
31.0,,3.0,999.0,,-1.8,,,,5099.1,,,,basic.9y,,,no,married,may,,no
,,,,1.0,,,,,,,wed,,university.degree,,technician,,,,,no
,85.0,2.0,999.0,,,,,,,telephone,wed,no,,no,blue-collar,,,,,no
,67.0,1.0,,,1.4,94465.0,-41.8,,,telephone,wed,,,,,no,,,,no
46.0,,,999.0,0.0,-3.0,,-33.0,,5023.5,cellular,,no,,,admin.,,,,,yes
,,,,,-1.8,92843.0,,,,,,no,,,,,married,,nonexistent,no
,,1.0,999.0,,,,,,,cellular,,no,basic.9y,,technician,no,,,,no
,80.0,,,,1.4,,,4864.0,,,tue,,,,,,,jun,,no
,724.0,1.0,,0.0,,,,,5228.1,cellular,,,,,blue-collar,,,jul,,yes
30.0,40.0,,,,1.4,,-42.7,4961.0,,cellular,tue,unknown,,,,,single,,,no
38.0,,3.0,999.0,0.0,,93444.0,-36.1,4963.0,,,thu,,professional.course,,,,,aug,nonexistent,no
,100.0,,,,,,-41.8,,,telephone,,,high.school,yes,,,divorced,jun,nonexistent,no
50.0,,,,,,93918.0,-42.7,,,cellular,,,,,,,,,,yes
,,,999.0,0.0,,,,4963.0,,,,,professional.course,yes,,yes,,,,no
