LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,SEX,default payment next month
80000.0,,,,,73731.0,,39457.0,,,2092.0,1218.0,1445.0,878.0,2.0,,,,,,,,,0
30000.0,28.0,,,29155.0,,22001.0,,,,851.0,,0.0,,2.0,2.0,0.0,0.0,0.0,,0.0,,,0
,,,0.0,,0.0,,,,850.0,,,,182.0,,1.0,,,,,-1.0,,,0
60000.0,,58839.0,53235.0,38533.0,39639.0,,,,,,1500.0,,2000.0,,,,,,,,0.0,,0
,,,,,,120854.0,123904.0,,,5000.0,,5000.0,10700.0,2.0,2.0,0.0,,0.0,0.0,0.0,,2.0,0
20000.0,32.0,,,,,,,,,685.0,,,690.0,3.0,,,2.0,,0.0,0.0,,,0
,33.0,,,,,,2669.0,,,15315.0,9705.0,,,,,-1.0,-1.0,,-1.0,,,,0
,31.0,205243.0,,,,130619.0,115700.0,,,8300.0,4800.0,,,,1.0,,,,,0.0,,2.0,0
50000.0,,,,,,,,,,,,800.0,,2.0,,,0.0,0.0,0.0,,0.0,,0
,43.0,,,,,,,805.0,,,,,,,,,,,,-2.0,,,0
,,22145.0,,,,,,,,,8559.0,4164.0,,,,,,-1.0,,,,,1
70000.0,37.0,,70890.0,66782.0,,,67046.0,,,,2505.0,2590.0,,,1.0,,,,0.0,,,2.0,0
,,17553.0,,5836.0,,7889.0,0.0,,,2000.0,,,,,2.0,-1.0,2.0,0.0,,0.0,0.0,,1
,,,,,,,,,,1000.0,0.0,,,,,,0.0,,-1.0,,,,1
,61.0,,,61849.0,,,,99.0,,,,2600.0,,,,,,,,,,,1
,45.0,,,,,,,,,,,,6892.0,,,,,0.0,,0.0,,1.0,0
,,143212.0,137963.0,,,,,,5500.0,4500.0,3500.0,,4000.0,,,0.0,,,,,,2.0,0
270000.0,,,,,118269.0,120737.0,,,,,,,,2.0,,,,,0.0,0.0,,,0
170000.0,,,112762.0,,,111525.0,,112000.0,,4500.0,4500.0,,,3.0,1.0,,0.0,,,0.0,,1.0,0
,24.0,,,,,48866.0,,,4326.0,,,,,2.0,,,,-1.0,,,,,1
110000.0,,,,106332.0,106906.0,,,5300.0,,4000.0,4100.0,4631.0,4404.0,,2.0,,,,0.0,,,2.0,1
,,,,,,,26144.0,1794.0,,,,,869.0,,1.0,,,,,,,1.0,0
,39.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,1.0,,,0.0,,-2.0,,,,0
150000.0,,,111178.0,32220.0,33247.0,,,,,1300.0,,,0.0,,,,,0.0,,0.0,,,0
240000.0,,,,,,,,,,,0.0,,3074.0,1.0,,2.0,,,-1.0,,,,0
,,,4292.0,,,,,,,0.0,,0.0,,1.0,,,-1.0,,-2.0,,-2.0,2.0,0
50000.0,,,,,47864.0,,,,2100.0,,,,2000.0,,2.0,0.0,,,,,,,0
390000.0,38.0,164418.0,,,128701.0,131529.0,,,7027.0,5000.0,,,5000.0,,,,0.0,,0.0,,,,0
,37.0,,842.0,,,1317.0,,0.0,14015.0,0.0,1317.0,,0.0,,,,,-1.0,,,,2.0,0
220000.0,,,487.0,2879.0,4483.0,,,1000.0,,2000.0,,,,,2.0,1.0,,,0.0,,0.0,,0
,,,,203813.0,,,,,,,7120.0,,,,1.0,-1.0,,0.0,,,,,1
,,9161.0,,,,,,,,,,,,1.0,,,-2.0,-2.0,,,,1.0,0
,47.0,,,,,,,1680.0,1722.0,,,,,,,0.0,,0.0,,,,2.0,0
480000.0,,993.0,1317.0,,,4415.0,,,,0.0,4415.0,,,,,,,-1.0,,-1.0,0.0,,0
20000.0,,,,,688.0,,1320.0,1000.0,,,,,0.0,2.0,,0.0,,-1.0,,,0.0,,0
,,546485.0,,184810.0,131304.0,,,18546.0,,,,,,2.0,,,0.0,,,0.0,0.0,2.0,0
,,,,,,,,6911.0,,,,2994.0,0.0,2.0,,,,0.0,0.0,,,,0
,,,,,,,,,,10021.0,,10000.0,,,,,,0.0,,,0.0,,0
,,24043.0,,26077.0,,,27709.0,,0.0,2257.0,,,2000.0,2.0,,,,,,2.0,,,0
,,,,,416.0,,,371.0,,,566.0,,0.0,,2.0,,,-2.0,,-2.0,,,0
,,,49694.0,48543.0,,,,3000.0,,,,1000.0,,2.0,,,,,0.0,0.0,,,0
80000.0,38.0,,,,,,,,1306.0,,,,0.0,,,,,0.0,,,0.0,,0
,,,24772.0,,,,,,,,,0.0,0.0,,2.0,,,,,,0.0,,0
,38.0,27429.0,,29282.0,,,,,,,,,,1.0,,,,,,,,,0
280000.0,,,,,380.0,,,,,,,,,1.0,,,-1.0,,,-1.0,,,0
,47.0,99823.0,,,,97432.0,,0.0,,3472.0,,,10179.0,,,,,,0.0,0.0,,,0
,46.0,125557.0,,,,0.0,,2498.0,,,0.0,,0.0,2.0,1.0,0.0,0.0,,-2.0,,,2.0,0
,50.0,,,102228.0,,,,,,2647.0,,,1500.0,,,,,0.0,0.0,0.0,,,0
30000.0,23.0,,,,25809.0,,,,0.0,,0.0,,,,2.0,,,2.0,,,,1.0,1
,23.0,,,,47147.0,,49050.0,,,1900.0,,3700.0,,,2.0,2.0,,,,,,,1
,,,1531.0,,,,277.0,,942.0,,,,,1.0,0.0,,,,,-1.0,,,0
20000.0,,20443.0,19038.0,,,690.0,,1558.0,,,,0.0,,,,,0.0,,0.0,,,,0
,47.0,,14259.0,,,,,,,2000.0,,3000.0,,,,,,,0.0,0.0,0.0,,0
,,8766.0,,,,,,1600.0,,,0.0,,,,,,,,-2.0,,,,0
,,,,,216850.0,,,,,,,,,1.0,,,,0.0,,,,,1
360000.0,,,252.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,-2.0,,,0
,,,67510.0,69007.0,61845.0,60184.0,66801.0,3120.0,3303.0,,,7600.0,,,2.0,,,,,0.0,,,1
,,,2411.0,,1179.0,,,,,,,991.0,,,,,,,,,,2.0,0
460000.0,28.0,,,50394.0,3917.0,1695.0,22231.0,55071.0,,3934.0,1702.0,,513.0,4.0,2.0,,,0.0,,,-1.0,,0
220000.0,,,1525.0,,1771.0,,,1525.0,3470.0,,,390.0,,3.0,,,,,-1.0,,-1.0,,0
