class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
,,,e,,s,f,,,,t,,,k,p,,p,w,,e,w,v,d
,x,,n,f,f,,c,,b,t,?,,,,w,,,,e,w,v,p
,f,y,e,f,,,c,,,t,,s,s,,w,p,,o,e,w,,
,,f,,t,,,,b,u,,b,,s,,p,,w,o,p,n,v,
e,b,y,y,t,,,,b,k,e,,,,w,w,p,w,,,,n,m
p,,,,f,,,,,b,,?,,,,,p,w,,,w,v,l
e,x,f,,,n,f,,b,w,,b,,s,g,g,,,o,,,,
e,,,e,,,,,b,e,,,,,,,,,,,,c,w
,f,,,f,,f,c,,p,,b,k,k,p,,,,,,h,y,d
,f,s,,t,,,c,n,,,,s,,,w,p,w,,,,,
,x,,,f,f,f,c,,b,t,,,,w,,,w,o,e,w,v,p
p,f,,,,y,,c,n,,,,,k,w,p,p,,,e,w,v,
,x,s,,t,,f,,b,,,,s,s,w,,p,w,,p,h,,
,,,,,y,,,n,b,,,k,k,w,p,,,,,w,,
,,,,f,,,,n,,,?,,,,p,,,,e,w,,d
,,s,,,n,,,,,,,f,s,w,,,,,,k,,g
p,f,s,w,,p,,c,,,,,s,,,,p,w,,,n,,u
,,f,,f,n,f,c,,,e,,s,,w,,p,,o,p,n,y,u
e,x,,,f,,,,,,e,,,s,,,,,,,,c,
,,s,g,t,f,f,c,,,t,b,f,,w,w,,w,o,,h,,u
,f,,,f,n,f,,,p,,,f,f,w,w,p,,,e,,a,
,x,f,g,t,,,,,p,t,,s,s,,,,,,,k,,
p,f,,g,f,f,,,b,p,e,b,k,k,n,,,w,,,,,p
p,x,,g,t,f,f,,b,,t,,f,f,,w,p,,o,p,,,u
,x,s,,,,,c,,,t,,,s,p,w,,,,e,,,
,,,,t,n,f,c,b,,,b,,,w,,,w,,,,,d
,k,s,,,,,c,b,,,,s,s,,o,,,o,,,v,l
