cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
,,,,,,,,b,,,s,,,w,p,,,,,v,,p
,s,,,,,,,,t,,,,,,,,,,w,,p,p
f,,,,y,,,,b,,,,,,,p,w,,e,w,,,p
,,,t,n,,,,,t,,,s,g,,,,,,,v,,e
,,,,l,,,b,,e,c,s,s,w,,,,,,n,,,e
,,n,,f,,,,,,,,,,,,w,,e,w,,,p
,,n,,n,,,b,,,,s,,,,,w,,,,,,e
,s,e,t,n,,,b,,e,,,s,,,p,w,,,w,,,e
,,,,,,c,,,,,,k,p,,,,,,,y,,p
,s,,,,f,c,,w,,,,,,,,,,p,n,,,p
,y,,,,,,n,,,?,s,,w,,,,,e,,v,,p
f,,,,,,c,,,,,s,,,p,p,,,,,,,p
x,,,,,,,,,t,,,,,,,,,,h,,u,p
,,,,,f,,,,,,,,,,p,w,,,,v,,p
,,,,,,,,b,,?,s,,,p,p,,o,e,w,v,d,p
f,,,,,f,,,p,t,e,f,s,,,,,o,,,,,e
,,,,,,,,,,,s,,,,,,o,,,,,p
,,,,,,,n,,,e,,,,,p,,,,n,y,,e
,s,,f,,,,,y,e,?,,,,o,,,,,,,l,e
,s,g,,f,,,,,,b,f,,w,w,,,,,,,u,p
,,,f,,f,,b,,,,,,w,,p,w,,e,n,,g,e
x,,,t,,,,b,,,b,,,,,,,o,p,k,,,e
,y,,,f,,c,b,,,,,,n,,,w,,,,,,p
,,,,f,,,,w,t,,,,,w,,w,,,,v,,p
,,,,,,c,,b,,,,s,p,,,w,,,w,,,p
,,,t,n,f,,,,,,s,,,,p,,,p,,y,d,e
,,,,n,,,b,,e,,,,,,,,o,p,b,,l,e
k,,e,f,,,,n,,,,s,,,,,w,,,,,p,p
,y,,,y,,c,n,b,,,k,s,p,,p,w,,e,w,v,,p
,,,,n,,c,,,e,,,,o,o,,n,,p,,,l,e
,,e,,,,c,,w,,,,,,,,,,p,n,y,,e
,,,f,f,f,,b,,e,,k,,,,,,o,l,h,,p,p
,,,f,n,,,,p,,e,,,w,,,w,,,k,,g,e
x,y,,,,,,,p,,,s,,,w,,,o,p,k,v,,p
f,,e,t,,,c,b,,,,,,,g,,,,,,y,,e
,y,,,a,,,,g,,c,,s,,,p,,,,k,,,e
,,n,,,,,,,,,,k,,,p,,,,,,,p
,,n,f,,,,,,t,?,k,k,w,,,w,,,,,d,p
,,,,n,,c,,,,,,,g,,,,,,k,v,,e
,f,,f,n,,,b,h,,,,,w,,,w,,,,s,,e
f,,,,n,f,,,,,,,,,,p,w,,,,,,e
,f,,,,,,,,,,,s,g,,p,w,,p,,y,,e
f,,,,n,f,,,,,,,,p,,p,,,,,,,e
x,y,g,,,,,,u,,,,,g,,p,,,,,,,e
f,,y,,f,,,b,,,,,,n,,,,,l,,,,p
,,,,,,,,,,b,,,w,,,,,,,,,p
,,,f,,f,,b,,,,,,w,,p,,,,k,s,,e
,f,,f,,f,c,,,e,,s,,w,,,,o,,,,,e
x,s,,,,f,w,b,,,e,,,w,,,,,,n,,,e
x,s,,,,,,,w,,,s,,,,,w,o,p,,,,e
,y,,,,,,,,t,,,,,,,,,,,,,e
,s,,t,n,,,b,,,,s,s,,,p,,,e,,,,e
,,w,,,,,,,,,,,w,,p,,t,,,,g,e
,,,,,,c,,,t,,,,,,p,,o,,,,d,p
,,,f,y,f,,n,b,,,,k,p,w,,w,,e,,v,d,p
,,,,,,c,,,,,,s,,,p,,,e,w,,,p
x,,,,,,,,n,,,,,g,,p,,,,,,,e
,,,,,f,c,,,,,,,,,p,,,,,,,p
,,,,p,,,,,,e,,,,w,p,,,p,,,u,p
,y,,t,,,,n,,,,,,,,,,o,,,,u,p
,s,,,,,,,,,c,,s,,,p,,,,k,,g,e
,,,,,,,b,h,,,,k,,,,w,,,h,v,,p
x,,,t,l,f,,,,e,,,,,w,,w,,,,,p,e
,,e,t,n,,,,,,,,,,,p,,,p,,,,e
,f,,f,n,f,,b,,,,,,,,p,,,e,,s,g,e
k,y,e,f,,,c,,b,,?,,,,,,,,,,,p,p
,,,,,,c,,,t,,,,,w,,w,,,,,,p
x,,y,,,f,w,,,,,s,,,,,,,,,,,e
k,s,,,y,,,,,,,s,,w,w,,w,,,,,p,p
,y,,t,n,,,,p,t,,,,,p,,w,,p,k,,,e
,f,,,,,w,b,,t,,,,,w,,,,e,k,a,,e
,,g,f,f,,,,g,e,,,,p,p,,,,l,,,,p
,y,,f,f,f,c,b,,,,,,,,,,,,h,y,,p
x,s,,,,f,w,,,e,,,k,,,,,,,,,,e
,f,n,,n,,,,p,,,s,s,,,,,o,,n,,g,e
,,,,,,,,h,t,,,,w,,,w,o,e,,,,e
,,,,,,c,,,,,,,,n,,,,l,h,,,p
x,,,,,,,,,t,,,,,,p,,,,,,,e
,f,,,,,,,p,,b,k,,p,,,,,,,,,p
f,y,,,f,,,,h,,b,,,,,p,,o,,h,,,p
,,,,,,,b,,e,,,k,,,p,,,,,,,p
,s,,,,,w,,g,,,,,,,p,,,p,,s,,e
,y,,,f,,,b,,,,k,,,,,w,,,,,,p
,,,,,f,,,,,b,,s,,,p,,,,,,,e
f,y,w,t,,,,,,,e,,,w,,,,,p,,,,p
,,,,,,,b,,,e,,,,w,,,o,e,,,,e
f,,,,f,f,,b,,e,,k,,p,,,w,,,h,y,p,p
,,,,,,,,,,b,,,b,,,w,,,,v,,p
b,,,f,,,c,,,,,,,,,,,,,,,,e
,,,,,,,,,t,,f,s,,,p,,o,,,s,g,e
,,,,n,f,c,,p,,b,s,,,,p,,,,n,,,e
x,,,,,,,b,,,b,,,,b,,w,,,h,v,d,p
,,,f,,,,,,,?,k,,,w,,w,,p,w,s,,e
,,,,a,,w,,p,,b,,,w,,p,,o,p,u,v,,e
f,,g,,,,c,,,,,,,,,,,o,,k,,u,e
,,n,t,,f,c,n,,,e,,,,w,,,,p,,,,p
f,,,,,,,,,,e,,,,,,,,p,,,u,p
,,,,,,,,y,e,,,s,,o,,,,,b,,l,e
,,n,,,,,n,,t,,,,,,,,,,,,,p
,s,n,,,,c,n,b,,?,,s,,,,,,,,,l,p
