age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contact,day_of_week,default,education,housing,job,loan,marital,month,poutcome
40,94,2,999,0,1.4,93918.0,-42.7,4.96,5228.1,telephone,mon,unknown,basic.9y,yes,blue-collar,no,married,jul,nonexistent
31,116,4,999,0,-1.8,92893.0,-46.2,1244.0,5099.1,cellular,mon,no,university.degree,no,admin.,no,married,may,nonexistent
59,13,6,999,1,-1.8,92893.0,-46.2,1354.0,5099.1,cellular,mon,no,basic.4y,no,retired,no,married,may,failure
43,94,5,999,0,1.4,93918.0,-42.7,4961.0,5228.1,cellular,tue,no,basic.9y,yes,housemaid,no,divorced,jul,nonexistent
39,344,2,999,0,1.1,93994.0,-36.4,4.86,5191.0,telephone,thu,unknown,high.school,no,admin.,no,single,may,nonexistent
33,727,2,999,0,-1.8,93075.0,-47.1,1405.0,5099.1,cellular,fri,no,basic.9y,no,management,no,married,apr,nonexistent
35,115,3,999,0,-1.8,92893.0,-46.2,1354.0,5099.1,cellular,mon,no,professional.course,yes,admin.,no,married,may,nonexistent
36,201,2,999,0,1.1,93994.0,-36.4,4857.0,5191.0,telephone,tue,unknown,basic.9y,no,blue-collar,no,single,may,nonexistent
36,93,2,999,0,1.1,93994.0,-36.4,4857.0,5191.0,telephone,tue,no,basic.9y,yes,blue-collar,no,married,may,nonexistent
28,174,7,999,0,1.4,93918.0,-42.7,4962.0,5228.1,cellular,wed,no,university.degree,yes,technician,no,single,jul,nonexistent
47,253,1,999,1,-0.1,93.2,-42.0,4153.0,5195.8,cellular,tue,no,professional.course,no,housemaid,yes,divorced,nov,failure
50,217,1,999,0,-0.1,93.2,-42.0,4076.0,5195.8,cellular,thu,unknown,basic.4y,yes,entrepreneur,no,married,nov,nonexistent
39,233,1,999,0,1.4,94465.0,-41.8,4864.0,5228.1,telephone,tue,no,basic.6y,yes,blue-collar,no,married,jun,nonexistent
48,121,1,999,0,1.1,93994.0,-36.4,4859.0,5191.0,telephone,fri,no,university.degree,no,admin.,yes,single,may,nonexistent
52,292,8,999,0,1.4,93918.0,-42.7,4963.0,5228.1,cellular,wed,no,basic.4y,yes,blue-collar,no,divorced,jul,nonexistent
43,91,1,999,0,-2.9,92963.0,-40.8,1262.0,5076.2,cellular,tue,no,university.degree,yes,admin.,no,married,jun,nonexistent
36,148,1,999,2,-1.8,93369.0,-34.8,0.654,5008.7,cellular,thu,no,university.degree,no,management,no,married,mar,failure
33,143,1,999,1,-0.1,93.2,-42.0,4.12,5195.8,cellular,wed,no,university.degree,no,management,no,married,nov,failure
35,130,1,999,0,1.4,93918.0,-42.7,4962.0,5228.1,cellular,wed,no,university.degree,no,management,no,married,jul,nonexistent
54,41,1,999,0,-1.8,93075.0,-47.1,1365.0,5099.1,cellular,thu,no,high.school,yes,housemaid,no,married,apr,nonexistent
32,180,2,999,0,1.1,93994.0,-36.4,4856.0,5191.0,telephone,wed,no,high.school,yes,services,no,single,may,nonexistent
32,134,1,999,1,-1.8,92893.0,-46.2,1281.0,5099.1,telephone,wed,unknown,basic.9y,yes,blue-collar,no,single,may,failure
36,569,2,999,0,-2.9,92963.0,-40.8,1252.0,5076.2,cellular,tue,no,professional.course,yes,technician,no,single,jun,nonexistent
33,398,2,999,0,1.4,94465.0,-41.8,4959.0,5228.1,telephone,fri,unknown,basic.6y,no,blue-collar,no,divorced,jun,nonexistent
28,98,1,999,0,-1.8,93075.0,-47.1,1405.0,5099.1,telephone,fri,unknown,university.degree,yes,student,no,married,apr,nonexistent
32,262,2,999,1,-1.8,92893.0,-46.2,1299.0,5099.1,cellular,mon,no,basic.6y,yes,admin.,no,married,may,failure
26,551,1,999,1,-1.8,92893.0,-46.2,1327.0,5099.1,cellular,thu,no,university.degree,yes,services,no,single,may,failure
38,597,3,999,0,1.1,93994.0,-36.4,4857.0,5191.0,telephone,tue,no,high.school,yes,unemployed,no,single,may,nonexistent
34,81,2,999,0,-1.8,92893.0,-46.2,1313.0,5099.1,cellular,fri,no,professional.course,yes,technician,no,married,may,nonexistent
34,19,11,999,0,-1.8,92893.0,-46.2,1281.0,5099.1,cellular,wed,no,professional.course,yes,technician,no,single,may,nonexistent
54,339,1,999,0,-0.1,93.2,-42.0,4153.0,5195.8,cellular,tue,no,university.degree,no,management,no,married,nov,nonexistent
23,104,1,999,0,-1.8,92893.0,-46.2,1266.0,5099.1,cellular,thu,no,high.school,no,technician,no,single,may,nonexistent
31,62,1,999,1,-0.1,93.2,-42.0,4021.0,5195.8,telephone,fri,no,high.school,yes,services,no,married,nov,failure
82,139,6,999,0,-1.8,93749.0,-34.6,0.638,5008.7,cellular,tue,no,basic.4y,unknown,housemaid,unknown,divorced,apr,nonexistent
34,838,3,999,0,1.4,93918.0,-42.7,4961.0,5228.1,cellular,tue,no,high.school,yes,management,no,married,jul,nonexistent
24,84,13,999,0,1.4,93918.0,-42.7,4963.0,5228.1,cellular,wed,no,university.degree,yes,admin.,yes,married,jul,nonexistent
33,210,1,999,0,-1.8,93075.0,-47.1,1405.0,5099.1,cellular,mon,no,basic.4y,no,blue-collar,no,single,apr,nonexistent
45,567,1,999,0,-0.1,93.2,-42.0,4021.0,5195.8,cellular,fri,no,high.school,no,admin.,yes,divorced,nov,nonexistent
46,403,1,999,1,-1.8,92893.0,-46.2,1334.0,5099.1,cellular,wed,no,basic.9y,yes,services,no,divorced,may,failure
37,500,1,999,0,1.1,93994.0,-36.4,4855.0,5191.0,telephone,thu,no,university.degree,no,technician,no,single,may,nonexistent
43,70,3,999,0,1.4,94465.0,-41.8,4967.0,5228.1,telephone,fri,no,university.degree,no,admin.,no,divorced,jun,nonexistent
25,130,4,999,0,1.1,93994.0,-36.4,4859.0,5191.0,telephone,fri,no,basic.9y,no,housemaid,no,single,may,nonexistent
28,296,1,999,1,-3.4,92649.0,-30.1,0.716,5017.5,cellular,wed,no,professional.course,yes,technician,no,single,nov,failure
33,199,1,999,0,1.4,93918.0,-42.7,4.96,5228.1,cellular,mon,no,university.degree,yes,management,no,married,jul,nonexistent
52,296,1,6,1,-0.1,93.2,-42.0,4153.0,5195.8,cellular,tue,no,basic.9y,yes,admin.,no,single,nov,success
25,446,8,999,0,-3.4,92649.0,-30.1,0.714,5017.5,telephone,mon,no,university.degree,yes,admin.,no,married,nov,nonexistent
40,113,2,999,0,1.4,93444.0,-36.1,4964.0,5228.1,cellular,wed,no,professional.course,no,technician,no,single,aug,nonexistent
36,262,4,999,0,1.1,93994.0,-36.4,4.86,5191.0,telephone,thu,no,high.school,unknown,services,unknown,married,may,nonexistent
47,548,8,999,0,1.4,94465.0,-41.8,4865.0,5228.1,telephone,mon,no,high.school,no,services,no,married,jun,nonexistent
89,314,1,999,0,-1.1,94199.0,-37.5,0.881,4963.6,cellular,tue,no,basic.4y,yes,retired,no,divorced,sep,nonexistent
36,96,1,999,1,-2.9,92201.0,-31.4,0.849,5076.2,cellular,fri,no,university.degree,yes,admin.,yes,married,aug,failure
50,87,3,999,0,-0.1,93.2,-42.0,4153.0,5195.8,cellular,tue,no,high.school,no,admin.,no,married,nov,nonexistent
41,348,3,999,0,-0.1,93.2,-42.0,4076.0,5195.8,cellular,thu,no,basic.9y,yes,technician,no,married,nov,nonexistent
45,93,1,999,0,1.4,93444.0,-36.1,4964.0,5228.1,cellular,fri,unknown,unknown,yes,housemaid,yes,married,aug,nonexistent
