age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contact,day_of_week,default,education,housing,job,loan,marital,month,poutcome
,94.0,,,0.0,,,-42.7,,,,mon,unknown,basic.9y,,,no,married,,
,116.0,4.0,999.0,,-1.8,,,,,,,,university.degree,,,,married,,
,13.0,,,1.0,-1.8,,-46.2,,5099.1,cellular,mon,no,,,retired,,,may,
,,,,,1.4,93918.0,,,,,,no,basic.9y,yes,housemaid,,divorced,jul,
39.0,344.0,2.0,,,1.1,,-36.4,,,,,,high.school,,admin.,,,,nonexistent
,,2.0,999.0,,-1.8,,-47.1,1405.0,,cellular,,,,,management,no,,,
,,3.0,,,-1.8,92893.0,,,,cellular,mon,,professional.course,,,,,,
36.0,201.0,2.0,999.0,,,,,,,,tue,,,,,no,single,,nonexistent
,,2.0,,,1.1,,,,,telephone,,,,,,no,,may,
28.0,,,,,,,,,,,wed,,,yes,,,,jul,nonexistent
,,1.0,,1.0,-0.1,,-42.0,,,,,,,,housemaid,,,,
,,,,,,93.2,,4076.0,5195.8,,,,,,,,,,
,,,999.0,,,,,,,,,no,,yes,,,,jun,nonexistent
,,,999.0,,,,,,5191.0,,fri,,university.degree,,admin.,,,,
,292.0,,,,1.4,,-42.7,,,cellular,,no,,,,,,,
,91.0,,999.0,,,,-40.8,,5076.2,cellular,,,,yes,,,married,,nonexistent
36.0,,,,2.0,,,,0.654,5008.7,,thu,no,,no,,,,mar,
,143.0,,999.0,,,,,4.12,5195.8,cellular,wed,,university.degree,no,management,no,,nov,failure
,,,,0.0,1.4,,,,5228.1,,,,university.degree,,,no,,,nonexistent
,,1.0,,,-1.8,93075.0,,,,,,,,yes,,,married,,nonexistent
,,2.0,,,,,,,,,,,,,services,,,,
,,,999.0,,-1.8,,,,,,wed,,,,,,,,
,,,,0.0,,,,,,,,,,yes,,,,jun,
,398.0,2.0,,,1.4,,-41.8,,,,fri,unknown,basic.6y,,blue-collar,,,,
28.0,,,999.0,,-1.8,93075.0,,,,,,unknown,,,student,,,,
,,,,,,,,,,cellular,,,basic.6y,,admin.,no,,may,
,551.0,1.0,999.0,,-1.8,92893.0,-46.2,,,,,,university.degree,,,no,,may,failure
,597.0,,,0.0,,,-36.4,,,telephone,,,,yes,,no,single,,
,81.0,,,,,92893.0,,1313.0,,,,,,,,,,,nonexistent
34.0,19.0,,,,,92893.0,,1281.0,,cellular,,no,,,,no,,,
54.0,,,999.0,,-0.1,,,4153.0,5195.8,,,,,,,no,,,nonexistent
,104.0,1.0,,0.0,-1.8,,-46.2,,5099.1,,thu,,,,,no,,,
,,,,,-0.1,,,,5195.8,,fri,no,,,,no,married,,failure
82.0,139.0,,999.0,,,,,,,,,,basic.4y,unknown,,,,,nonexistent
,,3.0,999.0,0.0,,93918.0,-42.7,,5228.1,,,no,,,,,married,,nonexistent
24.0,,,,,,,,,,,,no,,,,,,,
,,,,,,93075.0,-47.1,,,,,,,no,,,single,,
